�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
 00:14:00  26/03/2021,11,-8.28,4.78,-2.39,11,-0.50,3.00,11,-0.28,11,-1.00,-60.00,11,-3.78,11.72,14,13.11,11.78,13.11,14,5.78,14,6.61,11.72,10.22,14,11,-7.28,0.50,-0.72,2.50,11,0.89,2.22,11,-7.22,1.11,11,0,-1.00,-13.11,11,-1.39,-5.61,-0.50,3.11,0,7.50,14,8.61,2.22,11,0.61,11,2.11,3.61,1.00,3.22,11,-2.50,11,1.28,1.00,2.61,11,5.78,4.11,14,8.72,-4.89,11,11,17.89,17.78,2.61,-0.28,0,4.72,4.78,11,13.60,138,2.30,18.22,3,1,1,3,2.97,19,0,0,13.56,-1.89,14.77
 00:16:00  26/03/2021,11,0.00,5.28,3.00,11,0.11,4.22,0,0.50,11,-0.22,-60.00,11,-6.11,11.72,14,13.11,12.11,13.50,14,5.78,14,6.89,11.72,10.22,14,11,-0.50,1.28,1.78,3.39,11,4.00,4.11,11,0.39,1.50,11,11,-3.89,-20.61,11,-0.28,-3.39,-7.89,-0.39,11,7.50,14,8.61,3.39,11,2.00,0,4.72,-6.50,-1.72,3.78,0,0.11,11,2.28,3.50,3.89,11,6.22,4.11,4,8.39,1.11,11,11,17.89,17.78,2.00,1.00,0,4.72,5.11,11,13.60,139,1.80,21.39,0,1,1,3,2.97,19,0,0,11.74,-1.89,14.77
 00:18:00  26/03/2021,0,5.39,5.89,5.61,11,-13.89,1.89,11,1.28,11,1.89,-60.00,0,-5.50,12.00,14,13.11,12.11,13.78,14,5.78,4,6.89,12.11,10.72,14,11,-0.22,2.39,3.28,4.00,11,-4.72,2.61,0,3.61,2.39,11,11,-3.39,-13.28,0,0.00,-3.39,-1.50,0.22,11,7.78,4,8.61,4.78,0,0.00,11,1.11,-2.72,-4.72,1.50,11,0.39,11,3.28,-11.61,3.89,0,6.22,4.11,4,8.72,4.61,11,11,17.89,17.78,2.00,1.78,0,5.11,5.11,11,13.60,139,2.25,18.89,0,1,1,3,2.97,19,0,0,11.61,-1.89,14.77
 00:20:00  26/03/2021,0,-11.89,6.78,6.78,11,-1.89,1.28,11,2.22,0,2.28,-60.00,11,-5.11,12.00,14,13.39,12.50,14.22,14,6.11,4,7.22,12.39,10.72,14,0,-0.22,3.00,-7.78,4.00,0,2.39,3.61,0,4.61,3.39,11,11,-2.11,-7.78,0,-2.00,-6.78,0.50,1.61,11,7.78,4,8.89,4.28,0,0.39,11,1.89,1.28,0.28,2.89,11,1.61,0,4.22,-6.61,3.11,0,6.61,4.39,4,9.28,6.78,11,0,7.00,17.78,2.00,1.39,0,5.11,5.50,11,13.60,139,3.48,9.39,24,1,1,3,2.97,24,0,0,11.35,-1.89,14.77
 00:22:00  26/03/2021,11,-16.00,7.39,7.50,11,-0.50,2.39,14,1.28,14,-6.11,-60.00,11,-7.11,12.00,4,13.39,12.50,14.22,4,3.78,0,7.22,12.39,10.72,4,0,-4.89,2.22,-7.78,2.89,0,-3.28,3.61,0,4.61,4.11,0,11,-1.00,-5.39,11,-2.00,-5.89,2.50,2.50,11,7.22,0,8.89,2.89,0,-4.61,0,4.50,4.28,0.72,4.28,0,-3.28,0,3.72,-6.00,2.00,11,5.22,4.39,15,9.72,8.50,11,0,3.39,16.28,2.00,1.78,11,5.50,5.50,11,13.60,139,3.48,9.11,48,1,3,3,2.97,38,0,0,12.90,-1.89,14.77
 00:24:00  26/03/2021,11,-0.50,8.11,8.78,0,-0.11,3.72,14,1.28,14,-1.50,-60.00,11,-3.78,12.00,4,13.00,12.50,13.28,4,-4.00,0,3.72,12.39,10.39,4,0,-7.89,1.50,-9.00,1.89,11,-6.39,2.11,0,-4.78,3.39,0,11,-0.11,-3.89,11,-1.72,-5.89,3.22,3.22,11,-4.22,0,6.50,1.50,11,-6.39,0,2.89,-5.11,-5.50,2.22,0,-6.39,0,2.50,-1.11,2.00,11,0.00,3.89,0,10.28,9.72,11,11,7.72,15.11,2.00,2.28,11,5.50,5.78,11,13.60,139,2.99,10.39,49,1,3,3,2.97,50,46,45,13.99,-1.89,14.77
 00:26:00  26/03/2021,11,4.28,6.78,-0.50,0,1.00,4.78,14,1.72,14,0.00,-60.00,11,-6.61,12.00,4,12.22,11.72,12.00,4,-9.11,0,-0.39,11.78,9.78,4,11,-10.11,0.61,-7.78,1.28,11,-8.11,0.61,11,-8.61,2.22,0,0,-0.11,-6.39,11,-0.61,-5.11,3.61,3.78,11,-8.72,11,1.72,1.22,11,-2.78,11,-0.28,-8.00,-6.11,1.28,11,-8.89,11,1.50,0.39,3.00,11,-1.78,2.89,0,10.78,10.50,11,11,13.50,15.11,2.61,2.61,11,5.50,5.78,11,13.60,138,2.71,12.83,36,1,1,3,2.97,35,0,0,13.90,-2.22,14.77
 00:28:00  26/03/2021,0,-7.22,5.00,-6.78,11,3.72,5.78,14,3.00,14,4.11,-60.00,0,-6.11,5.39,0,8.72,8.61,4.61,0,-8.50,11,-2.39,9.39,6.78,0,11,-2.11,1.11,-1.22,1.89,11,0.78,2.50,11,-8.61,1.11,11,0,-1.89,-10.89,0,0.11,-2.89,2.50,3.00,0,-8.72,11,1.22,2.61,11,0.61,11,0.28,-0.50,0.39,2.89,11,-0.28,11,2.22,3.50,4.61,0,-1.78,1.61,0,11.11,6.11,0,11,15.28,15.50,2.89,3.00,11,5.89,6.11,11,13.60,138,2.89,12.22,37,1,1,3,2.97,37,0,0,14.33,-2.22,14.77
 00:30:00  26/03/2021,11,-16.61,5.00,-1.11,11,4.61,6.39,14,3.89,14,5.89,-60.00,11,-4.72,-3.28,11,5.39,4.72,-4.89,0,-2.28,11,-0.39,6.22,-2.61,0,11,-0.39,2.11,-0.11,2.72,11,3.89,3.89,11,-0.22,1.11,11,11,-2.78,-10.28,0,-1.78,-5.89,-5.50,0.72,11,-3.22,11,3.00,3.61,11,2.22,11,1.39,2.78,1.39,4.11,0,0.11,11,3.00,-7.61,2.78,0,-1.78,0.78,0,10.28,-0.39,0,11,16.00,16.00,3.22,3.00,11,5.89,6.11,11,13.60,137,2.95,11.78,40,1,1,3,2.97,38,0,0,14.63,-2.22,14.77
 00:32:00  26/03/2021,11,-17.11,5.50,4.28,11,5.22,7.00,14,5.00,14,7.00,-60.00,0,-6.78,-3.28,11,5.39,0.50,-7.72,0,-6.61,0,-0.72,2.22,-5.89,0,0,-0.39,3.00,2.28,3.72,11,-6.28,2.00,0,3.72,2.28,11,11,-3.61,-10.28,11,-2.11,-6.72,-0.22,1.28,11,-3.22,0,3.00,4.11,0,-4.28,0,6.00,-1.50,-5.00,1.89,0,0.78,0,4.22,-5.61,1.00,11,-3.11,0.11,0,9.39,-3.28,0,11,16.72,16.39,3.22,3.39,11,5.89,6.11,11,13.60,137,2.87,12.61,37,1,1,3,2.97,37,45,0,15.59,-2.22,14.77
 00:34:00  26/03/2021,11,1.72,6.22,6.22,11,5.22,7.28,14,5.61,14,7.39,-60.00,11,-4.11,3.22,11,8.00,0.00,-7.00,11,-8.00,11,-2.50,0.22,-7.78,0,0,-5.22,2.11,-2.61,4.39,0,0.78,2.39,11,4.61,3.22,11,11,-3.11,-9.89,11,-0.61,-4.78,2.22,2.39,11,-6.39,11,1.00,2.39,0,-7.39,11,1.28,-7.11,-0.78,2.28,11,-6.78,0,3.11,-0.39,1.61,11,-1.61,0.11,0,9.00,-2.61,11,11,17.00,16.72,3.50,3.39,11,5.11,4.61,0,13.60,137,2.79,13.17,39,3,1,3,2.97,50,14,0,15.29,-2.22,14.77
 00:36:00  26/03/2021,0,1.72,7.00,7.00,11,5.50,7.72,14,6.28,14,7.72,-60.00,11,-6.72,5.89,11,9.00,-0.89,-6.50,11,-2.61,11,-0.61,-1.78,-10.00,0,11,-8.89,0.89,-11.00,3.00,0,3.39,3.89,11,4.89,3.89,11,11,-2.22,-8.50,0,0.22,-3.28,3.11,3.22,11,-4.39,11,2.39,1.61,11,-2.28,11,-0.22,-3.50,0.61,3.50,11,-9.39,11,1.72,1.61,2.72,11,-1.61,-0.22,11,8.72,1.61,11,11,17.00,17.00,3.50,3.78,11,4.00,2.72,11,13.60,137,2.79,12.06,30,2,1,3,2.97,30,8,0,14.41,-1.89,14.77
 00:38:00  26/03/2021,0,-15.89,7.72,7.78,11,5.50,8.11,14,7.00,14,7.72,-60.00,0,-4.39,0.28,11,5.11,1.72,0.72,11,-4.11,0,0.00,-1.78,-7.28,11,11,-0.89,1.50,-8.89,1.72,11,-4.28,2.39,0,-1.61,3.61,0,11,-0.89,-5.61,0,-2.11,-5.50,3.78,3.89,11,0.00,0,4.28,2.89,11,0.61,11,1.11,1.39,0.00,3.22,0,-1.00,11,2.22,2.61,4.50,0,-0.50,-0.22,11,9.00,4.89,11,11,17.39,17.28,3.78,3.78,11,3.50,2.72,11,13.60,137,3.05,9.83,40,1,1,3,2.97,38,22,0,15.20,-1.89,14.77
 00:40:00  26/03/2021,11,-5.39,8.00,7.78,0,5.78,8.11,14,7.61,14,8.28,-60.00,11,-5.11,-3.89,11,5.72,0.00,-6.00,0,-7.28,11,-2.22,-0.61,-1.11,11,11,-0.22,2.61,-3.39,1.72,11,-7.11,0.89,11,-8.00,2.50,0,11,-0.11,-3.61,11,-3.61,-7.22,-3.28,2.22,0,-6.78,11,0.78,4.00,11,3.28,11,3.72,4.00,-5.89,1.11,11,0.11,11,3.11,-7.61,2.39,0,0.11,-0.22,11,9.50,7.28,11,11,17.39,17.28,3.78,3.78,11,3.89,3.78,11,13.60,136,2.86,11.67,36,1,1,3,2.97,36,0,0,12.22,-1.89,14.77
 00:42:00  26/03/2021,11,0.39,6.28,-2.72,0,5.78,8.61,14,8.22,14,8.28,-60.00,11,-6.61,0.39,11,7.39,-0.89,-7.11,11,-6.22,11,-1.72,-0.61,-0.72,0,0,-0.22,2.89,-1.00,2.39,11,-0.72,2.11,11,-8.28,1.50,11,0,-0.11,-4.22,11,-2.22,-7.22,-6.72,0.00,11,-6.22,11,1.50,4.00,0,-5.28,0,3.72,-4.39,-0.61,1.50,11,0.61,0,4.00,-5.39,1.39,11,0.50,0.28,11,10.00,9.00,11,11,17.78,17.72,3.78,4.22,11,4.22,4.39,11,13.60,136,2.86,11.67,34,1,1,3,2.97,34,0,0,13.38,-1.89,14.77
 00:44:00  26/03/2021,0,3.72,4.89,-6.50,11,5.78,8.61,14,8.61,14,8.72,-60.00,11,-4.22,5.11,11,8.50,0.72,0.22,11,-0.61,0,0.11,-2.39,-8.22,11,0,-3.28,2.11,0.50,3.11,11,3.39,3.72,11,0.11,1.89,11,0,-1.78,-12.11,11,-0.50,-4.28,-2.00,0.39,11,-1.39,11,3.50,3.61,0,0.50,11,1.72,-1.11,0.72,3.11,11,-4.89,0,3.11,-0.28,2.11,11,0.89,0.28,11,10.50,10.00,11,11,17.78,17.72,3.50,1.22,0,4.50,4.72,11,13.60,136,2.69,13.39,25,1,1,3,2.97,25,0,0,12.65,-1.89,14.77
 00:46:00  26/03/2021,0,-14.50,4.89,-0.78,11,6.11,9.00,14,9.11,14,9.11,-60.00,11,-7.00,7.39,0,8.89,2.00,1.89,0,-6.61,0,-0.89,-2.00,-5.22,11,11,-7.89,0.89,2.50,3.89,11,2.39,4.00,0,3.50,2.72,11,11,-3.00,-9.72,0,0.22,-2.78,1.00,1.61,11,-1.89,0,3.11,3.22,0,-1.89,11,2.28,2.28,0.72,4.22,0,-6.61,0,2.28,2.61,3.28,11,0.89,0.72,11,11.11,10.78,11,11,17.78,18.00,2.50,1.22,0,4.50,4.72,11,13.60,137,3.20,9.83,44,3,1,3,2.97,50,0,0,14.07,-1.89,14.77
 00:48:00  26/03/2021,11,-13.61,5.39,3.89,11,6.11,9.00,14,9.61,14,9.39,-60.00,0,-3.89,-2.00,11,4.50,-0.89,-7.28,11,-7.61,11,-3.00,-0.11,-0.78,11,11,-1.61,1.39,-6.78,3.89,0,-6.22,1.78,11,4.50,3.61,11,11,-3.28,-10.61,11,-2.39,-6.50,2.50,2.61,11,-7.00,11,0.78,1.39,11,-7.78,0,5.72,2.28,-6.61,1.61,11,-5.61,11,1.72,-1.89,4.22,0,1.39,0.72,11,11.11,3.00,0,0,14.50,18.00,2.22,1.72,0,4.78,5.11,11,13.60,136,2.87,11.67,41,3,1,3,2.97,38,0,0,13.30,-1.89,14.77
 00:50:00  26/03/2021,11,-0.28,6.22,6.00,11,6.11,9.39,14,10.00,14,9.78,-60.00,11,-6.50,-3.78,11,5.89,-0.39,-2.61,11,-2.22,11,-0.78,-1.28,-3.11,0,11,-0.39,2.50,-10.39,2.28,0,-0.89,2.11,11,3.39,4.00,0,11,-2.61,-9.61,11,-3.50,-7.61,3.22,3.22,11,-4.11,11,2.28,1.39,11,-2.61,11,1.11,-7.89,-0.72,2.00,11,0.00,11,2.50,-8.61,1.89,11,1.39,1.11,11,10.22,-1.22,0,0,9.28,17.11,1.89,1.39,11,4.78,5.11,11,13.60,136,2.92,11.67,40,2,1,3,2.97,38,0,0,13.94,-1.89,14.77
 00:52:00  26/03/2021,11,4.72,6.89,6.89,11,6.11,9.39,14,10.28,14,10.22,-60.00,0,-5.72,2.11,11,7.39,1.39,1.39,11,-2.78,0,0.22,-2.61,-8.89,11,0,0.11,3.11,-11.72,1.22,11,3.28,3.72,11,-7.11,2.78,0,11,-1.39,-6.22,11,-1.28,-6.00,3.78,4.00,11,0.11,0,4.28,2.72,11,0.72,11,0.00,-2.72,0.72,3.61,11,0.00,11,3.50,-1.78,1.22,11,1.89,1.39,11,9.61,-3.50,0,11,2.78,15.89,1.89,2.00,11,5.11,5.39,11,13.60,136,2.82,12.11,32,1,1,3,2.97,32,0,0,13.82,-1.89,14.77
 00:54:00  26/03/2021,0,-10.11,7.50,8.00,11,6.39,9.72,14,10.72,14,10.50,-60.00,11,-5.72,5.89,11,8.50,0.72,-2.22,0,-6.78,0,-1.78,-1.72,-3.50,11,0,-7.39,1.78,-2.28,1.50,11,-3.39,2.89,0,-6.50,2.11,0,11,-0.28,-4.22,11,-0.11,-3.50,-0.22,2.61,0,-5.39,11,1.11,3.78,11,2.28,11,1.22,1.72,0.00,3.61,0,0.00,0,4.00,0.28,2.39,11,1.89,1.39,11,8.78,-2.28,11,11,10.61,15.11,2.39,2.50,11,5.11,5.39,11,13.60,136,3.24,7.83,46,1,1,3,2.97,38,0,0,13.90,-1.89,14.77
 00:56:00  26/03/2021,11,-16.72,8.11,9.11,0,6.39,9.72,14,10.72,14,10.50,-60.00,11,-6.61,7.61,0,9.00,-1.00,-7.00,11,-6.11,11,-2.22,-0.11,-0.50,11,0,-9.39,1.00,-0.89,2.22,11,-7.28,1.28,11,-3.22,1.61,11,0,0.22,-3.11,0,-0.11,-4.22,-6.28,0.11,11,-5.39,11,1.50,4.61,0,-3.39,11,3.22,3.89,-6.50,1.39,11,-8.00,0,2.72,3.28,3.39,11,2.28,1.72,11,8.78,3.11,11,11,14.39,15.11,2.78,2.78,11,5.50,5.72,11,13.60,136,2.81,11.67,38,1,1,3,2.97,38,9,0,15.20,-1.39,14.77
 00:58:00  26/03/2021,11,-0.61,6.61,-2.28,0,6.39,10.00,14,11.22,14,10.89,-60.00,11,-4.22,-2.78,11,4.50,0.11,-0.28,11,-0.61,0,0.11,-1.61,-5.00,0,11,-2.11,1.00,1.22,3.00,11,-0.28,2.22,11,2.22,2.11,11,0,-1.11,-11.00,11,-3.11,-7.28,-3.11,0.11,11,-2.00,11,3.22,2.50,0,-7.50,0,3.50,-5.72,-0.11,1.39,11,-6.00,11,1.61,-6.72,3.39,0,2.28,1.72,11,8.78,5.78,11,11,15.72,15.61,3.11,3.22,11,5.50,5.72,11,13.60,136,2.74,12.28,36,1,1,3,2.97,36,0,0,12.73,-1.39,14.77
 01:00:00  26/03/2021,11,1.78,4.78,-7.50,11,6.72,10.00,14,11.22,14,11.22,-60.00,11,-7.00,-3.78,11,5.78,2.00,2.22,11,-8.00,0,-1.78,-2.72,-7.89,11,11,-0.39,2.22,2.78,3.89,11,3.61,3.89,11,4.11,3.00,11,11,-3.61,-14.28,11,-2.78,-8.11,0.11,1.11,11,-3.50,0,2.50,1.39,11,-1.78,11,-0.78,-6.28,0.78,3.28,11,0.00,11,2.50,-10.78,1.11,11,2.28,2.00,0,9.50,7.50,11,11,16.22,16.00,3.11,3.22,11,5.50,5.72,11,13.60,136,2.41,15.72,0,1,1,3,2.97,19,0,0,12.52,-1.39,14.77
 01:02:00  26/03/2021,0,-0.22,4.78,-1.61,11,6.72,10.00,4,11.61,14,11.50,-60.00,0,-4.00,2.39,11,7.28,0.22,-3.72,0,-6.22,11,-2.78,-1.22,-2.22,11,0,0.22,3.22,-5.72,4.39,0,-6.89,2.22,0,4.89,3.78,11,11,-4.22,-13.61,11,-1.11,-4.72,2.00,2.11,11,-7.39,11,0.89,2.61,11,0.61,11,0.28,0.39,-0.28,3.89,0,0.00,11,3.39,-0.72,1.39,11,-2.00,1.39,0,10.00,9.00,11,11,16.72,16.50,3.39,3.50,11,5.50,6.00,11,13.60,136,2.61,14.33,0,1,1,3,2.97,19,0,0,12.22,-1.39,14.77
 01:04:00  26/03/2021,0,-16.50,5.28,3.50,11,7.00,10.39,4,11.89,14,11.78,-60.00,11,-5.78,5.89,11,8.50,-0.22,-3.00,11,-0.61,11,0.00,0.28,-0.22,0,0,1.11,3.22,-3.78,3.61,0,-0.78,2.72,11,4.00,4.28,0,11,-3.00,-10.11,11,0.00,-3.28,2.78,2.89,11,-1.11,11,2.89,3.72,11,2.11,11,1.50,3.11,-6.50,3.00,0,0.00,0,4.22,1.22,2.50,11,-4.11,0.22,0,10.50,10.00,11,11,17.00,16.78,3.39,3.50,11,5.50,6.00,11,13.60,136,3.15,10.11,12,1,1,3,2.97,19,0,0,11.74,-1.39,14.77
 01:06:00  26/03/2021,11,-3.00,6.00,5.89,11,7.00,10.39,4,11.89,14,11.78,-60.00,0,-5.78,8.28,0,9.11,1.50,1.00,11,-4.89,0,0.00,-0.89,-3.00,0,0,1.11,3.22,-1.28,3.28,0,3.50,4.11,0,5.00,4.78,0,11,-1.72,-6.22,0,0.00,-3.28,3.39,3.39,11,1.50,0,4.28,4.78,0,0.00,0,5.89,2.50,-3.61,1.50,11,-1.11,0,4.22,3.39,3.78,11,-1.72,0.22,11,11.11,10.78,0,11,17.28,17.11,3.72,3.89,11,5.78,6.00,11,13.60,136,3.61,7.61,44,1,1,3,2.97,38,0,0,11.35,-2.11,14.77
 01:08:00  26/03/2021,11,1.00,6.72,6.78,11,-3.61,9.89,0,12.22,4,11.78,-60.00,11,-4.89,-0.28,11,5.11,1.00,-2.89,0,-6.11,0,-0.72,-1.39,-5.39,0,14,-3.00,2.39,-7.39,2.50,14,-4.72,2.78,0,-2.28,4.22,0,11,-0.50,-4.39,0,-1.11,-5.22,3.78,3.89,11,-4.89,11,1.50,2.78,0,-4.72,0,2.50,-5.61,0.28,2.61,11,-4.50,0,3.28,-4.22,3.22,0,-0.39,0.22,11,11.11,2.72,0,11,17.28,17.11,3.72,3.89,11,5.78,6.00,11,13.60,135,2.79,11.78,50,3,1,3,2.97,50,42,57,14.98,-2.11,14.77
 01:10:00  26/03/2021,0,3.28,7.39,7.50,11,-12.50,5.61,0,12.22,4,10.61,-60.00,11,-6.50,-4.61,11,5.11,-1.39,-8.72,11,-9.50,11,-3.28,-2.89,-9.00,11,14,-0.50,2.39,-2.22,2.50,14,-9.50,0.39,11,-8.11,2.89,0,0,0.11,-3.11,11,-3.78,-8.11,-3.50,2.22,0,-6.39,11,0.89,1.00,11,-7.00,11,-0.61,-6.00,1.00,3.89,11,-9.22,11,1.78,-10.89,1.28,11,0.22,0.22,11,10.11,-2.72,0,11,17.61,17.50,3.72,3.89,11,5.78,6.28,11,13.60,135,2.63,14.83,30,2,1,3,2.97,30,0,0,13.38,-2.11,14.77
 01:12:00  26/03/2021,0,-15.39,8.00,8.78,11,-12.11,2.78,0,11.89,0,10.00,-60.00,11,-4.78,0.78,11,6.78,-0.39,-0.78,11,-1.00,11,-0.78,-2.11,-3.78,11,14,0.00,3.50,-0.78,3.22,14,-0.50,1.50,11,-6.61,1.89,11,0,-1.00,-12.78,11,-2.11,-6.78,-5.78,-0.22,11,-1.61,11,2.72,1.72,11,0.50,11,0.22,0.28,-7.11,2.50,0,-3.50,11,1.28,-0.89,1.28,11,0.72,0.61,11,9.39,-4.78,0,11,17.61,17.50,4.11,3.89,0,6.11,6.28,0,13.60,135,3.10,13.72,15,1,1,3,2.97,19,0,0,12.95,-2.11,14.77
 01:14:00  26/03/2021,11,-13.28,7.61,4.11,0,-5.11,2.28,0,10.50,0,5.39,-60.00,11,-7.11,5.11,11,8.00,1.61,1.61,11,-5.00,0,0.11,-0.11,-0.61,11,14,1.39,4.39,1.78,4.00,14,3.22,3.39,11,0.89,2.28,11,11,-2.28,-10.61,11,-0.61,-4.00,-1.11,0.39,11,0.89,0,4.22,2.89,11,1.11,11,1.28,3.00,0.22,2.22,11,0.11,11,2.28,0.72,2.50,11,1.00,0.61,11,8.89,0.72,11,11,17.89,17.78,3.11,1.00,0,5.11,4.61,0,13.60,135,3.16,10.94,28,1,1,3,2.97,29,0,0,12.05,-2.11,14.77
 01:16:00  26/03/2021,11,-0.22,6.39,-2.89,0,-4.78,2.89,0,10.00,0,1.11,-60.00,0,-3.89,7.50,11,8.72,1.28,-2.00,0,-5.89,0,-1.11,-0.11,-1.50,0,14,2.89,5.11,3.28,4.72,14,0.61,4.22,0,3.78,3.00,11,11,-3.00,-8.22,0,0.22,-2.89,1.28,1.78,11,0.00,0,3.28,4.28,11,3.72,0,5.72,2.61,0.89,3.72,11,0.11,11,3.39,3.39,4.22,11,1.39,1.00,11,8.89,4.61,11,11,17.89,17.78,2.61,2.11,0,4.39,4.00,0,13.60,135,3.50,8.00,50,1,3,3,2.97,50,0,0,13.90,-2.11,14.77
 01:18:00  26/03/2021,0,4.72,5.22,-3.89,11,-7.89,1.89,11,7.78,0,-6.89,-60.00,11,-6.61,5.50,0,8.72,-0.61,-6.89,11,-7.39,11,-2.39,-1.50,-6.39,0,14,4.00,5.78,4.11,5.28,14,-5.89,2.28,0,4.72,3.89,11,11,-3.00,-9.39,0,-1.28,-5.61,2.61,2.61,11,-5.89,11,0.89,3.61,0,-5.28,11,1.89,-6.61,-1.11,3.22,0,0.11,0,4.22,-6.61,3.22,0,1.72,1.00,11,9.50,7.11,11,0,17.89,18.11,2.28,1.61,0,3.72,2.78,11,13.60,135,2.92,9.83,55,1,3,3,2.97,56,0,0,13.12,-2.11,14.77
 01:20:00  26/03/2021,0,-10.00,5.22,0.61,11,-4.72,1.28,11,5.61,0,-11.72,-60.00,0,-4.78,-4.72,11,4.22,-0.61,-1.78,11,-3.00,11,-1.39,-2.78,-8.50,11,14,4.39,6.39,4.50,5.89,14,-6.50,0.89,11,-5.22,3.39,0,11,-2.61,-9.39,11,-3.72,-8.28,3.22,3.22,11,-4.50,11,1.78,1.39,11,-7.11,11,-0.78,-5.89,-7.22,1.39,11,-9.61,0,2.61,-10.50,1.28,11,1.72,1.28,11,9.89,8.78,11,0,8.50,17.72,1.78,1.00,11,3.72,3.50,11,13.60,135,2.43,12.33,32,1,1,3,2.97,30,13,0,14.98,-2.11,14.77
